PC6,hh_ID,hh_size,neighb_code,hh_type,income_group,car_ownership,longitude,latitude,PC4
2532BN,23685,1,BU05183639,single,income_8_10,1,4.29534951249349,52.0470252853656,2532
2532BP,22139,4,BU05183639,single-parent,income_2_10,1,4.29478662958228,52.0467262136043,2532
2532BP,22153,5,BU05183639,couple_with_children,income_3_10,0,4.29478662958228,52.0467262136043,2532
2532BP,22396,3,BU05183639,single-parent,income_4_10,1,4.29478662958228,52.0467262136043,2532
2532BP,23112,2,BU05183639,couple_without_children,income_6_10,0,4.29478662958228,52.0467262136043,2532
2532BP,23964,1,BU05183639,single,income_5_10,0,4.29478662958228,52.0467262136043,2532
2532BP,22278,5,BU05183639,couple_with_children,income_5_10,0,4.29478662958228,52.0467262136043,2532
2532BP,23412,1,BU05183639,single,income_4_10,1,4.29478662958228,52.0467262136043,2532
2532BP,22914,3,BU05183639,couple_with_children,income_8_10,0,4.29478662958228,52.0467262136043,2532
2532BP,24250,1,BU05183639,single,income_5_10,1,4.29478662958228,52.0467262136043,2532
2532BP,22459,4,BU05183639,couple_with_children,income_9_10,0,4.29478662958228,52.0467262136043,2532
2532BP,22647,4,BU05183639,couple_with_children,income_6_10,0,4.29478662958228,52.0467262136043,2532
2532BP,23997,1,BU05183639,single,income_8_10,0,4.29478662958228,52.0467262136043,2532
2532BP,23943,1,BU05183639,single,income_6_10,1,4.29478662958228,52.0467262136043,2532
2532BP,23370,2,BU05183639,couple_without_children,income_7_10,0,4.29478662958228,52.0467262136043,2532
2532BP,24273,1,BU05183639,single,income_3_10,1,4.29478662958228,52.0467262136043,2532
2532BP,24310,1,BU05183639,single,income_6_10,1,4.29478662958228,52.0467262136043,2532
2532BP,23674,1,BU05183639,single,income_9_10,1,4.29478662958228,52.0467262136043,2532
2532BP,23262,2,BU05183639,couple_without_children,income_3_10,0,4.29478662958228,52.0467262136043,2532
2532BP,23828,1,BU05183639,single,income_2_10,1,4.29478662958228,52.0467262136043,2532
2532BP,22458,3,BU05183639,single-parent,income_6_10,1,4.29478662958228,52.0467262136043,2532
2532BP,24286,1,BU05183639,single,income_7_10,1,4.29478662958228,52.0467262136043,2532
2532BR,22704,3,BU05183639,couple_with_children,income_5_10,0,4.29611496144221,52.046982073976,2532
2532BR,23355,2,BU05183639,couple_without_children,income_9_10,0,4.29611496144221,52.046982073976,2532
2532BR,23715,1,BU05183639,single,income_1_10,1,4.29611496144221,52.046982073976,2532
2532BR,22719,2,BU05183639,single-parent,income_2_10,1,4.29611496144221,52.046982073976,2532
2532BR,23611,1,BU05183639,single,income_5_10,1,4.29611496144221,52.046982073976,2532
2532BR,22315,3,BU05183639,single-parent,income_7_10,1,4.29611496144221,52.046982073976,2532
2532BR,23337,2,BU05183639,couple_without_children,income_1_10,0,4.29611496144221,52.046982073976,2532
2532BR,22294,4,BU05183639,single-parent,income_3_10,0,4.29611496144221,52.046982073976,2532
2532BR,24098,1,BU05183639,single,income_4_10,0,4.29611496144221,52.046982073976,2532
2532BR,22193,5,BU05183639,couple_with_children,income_8_10,0,4.29611496144221,52.046982073976,2532
2532BR,22667,2,BU05183639,single-parent,income_10_10,0,4.29611496144221,52.046982073976,2532
2532BR,23977,1,BU05183639,single,income_5_10,1,4.29611496144221,52.046982073976,2532
2532BR,23687,1,BU05183639,single,income_8_10,1,4.29611496144221,52.046982073976,2532
2532BR,23372,1,BU05183639,single,income_5_10,1,4.29611496144221,52.046982073976,2532
2532BR,22379,4,BU05183639,couple_with_children,income_4_10,0,4.29611496144221,52.046982073976,2532
2532BR,23796,1,BU05183639,single,income_10_10,1,4.29611496144221,52.046982073976,2532
2532BR,23826,1,BU05183639,single,income_2_10,1,4.29611496144221,52.046982073976,2532
2532BR,24122,1,BU05183639,single,income_5_10,1,4.29611496144221,52.046982073976,2532
2532BR,22896,3,BU05183639,couple_with_children,income_6_10,0,4.29611496144221,52.046982073976,2532
2532BR,23009,2,BU05183639,single-parent,income_9_10,0,4.29611496144221,52.046982073976,2532
2532BR,24269,1,BU05183639,single,income_1_10,0,4.29611496144221,52.046982073976,2532
2532BR,23122,2,BU05183639,couple_without_children,income_9_10,0,4.29611496144221,52.046982073976,2532
2532BR,22916,2,BU05183639,single-parent,income_5_10,1,4.29611496144221,52.046982073976,2532
2532BR,22220,5,BU05183639,couple_with_children,income_10_10,0,4.29611496144221,52.046982073976,2532
2532BR,24021,1,BU05183639,single,income_1_10,1,4.29611496144221,52.046982073976,2532
2532BR,23765,1,BU05183639,single,income_10_10,1,4.29611496144221,52.046982073976,2532
2532BR,23662,1,BU05183639,single,income_1_10,0,4.29611496144221,52.046982073976,2532
2532BR,24317,1,BU05183639,single,income_3_10,0,4.29611496144221,52.046982073976,2532
2532BR,23862,1,BU05183639,single,income_7_10,1,4.29611496144221,52.046982073976,2532
2532BS,24270,1,BU05183639,single,income_4_10,0,4.29552072617312,52.0466642477519,2532
2532BS,23215,2,BU05183639,couple_without_children,income_2_10,0,4.29552072617312,52.0466642477519,2532
2532BS,24319,1,BU05183639,single,income_1_10,0,4.29552072617312,52.0466642477519,2532
2532BS,23852,1,BU05183639,single,income_3_10,1,4.29552072617312,52.0466642477519,2532
2532BS,22247,5,BU05183639,couple_with_children,income_1_10,0,4.29552072617312,52.0466642477519,2532
2532BS,22623,3,BU05183639,single-parent,income_1_10,0,4.29552072617312,52.0466642477519,2532
2532BS,23420,1,BU05183639,single,income_3_10,0,4.29552072617312,52.0466642477519,2532
2532BS,22167,5,BU05183639,couple_with_children,income_2_10,0,4.29552072617312,52.0466642477519,2532
2532BS,22781,3,BU05183639,couple_with_children,income_10_10,0,4.29552072617312,52.0466642477519,2532
2532BS,23632,1,BU05183639,single,income_1_10,0,4.29552072617312,52.0466642477519,2532
2532BS,24090,1,BU05183639,single,income_1_10,0,4.29552072617312,52.0466642477519,2532
2532BS,23279,2,BU05183639,couple_without_children,income_8_10,0,4.29552072617312,52.0466642477519,2532
2532BS,23441,1,BU05183639,single,income_2_10,0,4.29552072617312,52.0466642477519,2532
2532BS,24142,1,BU05183639,single,income_7_10,0,4.29552072617312,52.0466642477519,2532
2532BS,23753,1,BU05183639,single,income_5_10,1,4.29552072617312,52.0466642477519,2532
2532BS,23331,2,BU05183639,couple_without_children,income_5_10,0,4.29552072617312,52.0466642477519,2532
2532BS,22225,5,BU05183639,couple_with_children,income_1_10,0,4.29552072617312,52.0466642477519,2532
2532BS,24089,1,BU05183639,single,income_7_10,0,4.29552072617312,52.0466642477519,2532
2532BS,23682,1,BU05183639,single,income_6_10,0,4.29552072617312,52.0466642477519,2532
2532BS,23782,1,BU05183639,single,income_5_10,0,4.29552072617312,52.0466642477519,2532
2532BT,24219,1,BU05183639,single,income_3_10,1,4.29509182926299,52.0464209990826,2532
2532BT,23443,1,BU05183639,single,income_2_10,0,4.29509182926299,52.0464209990826,2532
2532BT,23612,1,BU05183639,single,income_6_10,1,4.29509182926299,52.0464209990826,2532
2532BT,23533,1,BU05183639,single,income_3_10,0,4.29509182926299,52.0464209990826,2532
2532BT,23676,1,BU05183639,single,income_9_10,0,4.29509182926299,52.0464209990826,2532
2532BT,23179,2,BU05183639,couple_without_children,income_8_10,0,4.29509182926299,52.0464209990826,2532
2532BT,22829,3,BU05183639,couple_with_children,income_9_10,0,4.29509182926299,52.0464209990826,2532
2532BT,23818,1,BU05183639,single,income_3_10,1,4.29509182926299,52.0464209990826,2532
2532BT,23286,2,BU05183639,couple_without_children,income_10_10,0,4.29509182926299,52.0464209990826,2532
2532BT,23822,1,BU05183639,single,income_4_10,1,4.29509182926299,52.0464209990826,2532
2532BT,22612,4,BU05183639,couple_with_children,income_9_10,0,4.29509182926299,52.0464209990826,2532
2532BT,22465,3,BU05183639,single-parent,income_4_10,1,4.29509182926299,52.0464209990826,2532
2532BT,24207,1,BU05183639,single,income_3_10,0,4.29509182926299,52.0464209990826,2532
2532BT,22681,2,BU05183639,single-parent,income_1_10,0,4.29509182926299,52.0464209990826,2532
2532BT,23570,1,BU05183639,single,income_4_10,1,4.29509182926299,52.0464209990826,2532
2532BT,23264,2,BU05183639,couple_without_children,income_7_10,0,4.29509182926299,52.0464209990826,2532
2532BT,22706,2,BU05183639,single-parent,income_10_10,0,4.29509182926299,52.0464209990826,2532
2532BW,24326,1,BU05183639,single,income_4_10,0,4.30063784114194,52.0485886998817,2532
2532BW,23912,1,BU05183639,single,income_1_10,0,4.30063784114194,52.0485886998817,2532
2532BW,24039,1,BU05183639,single,income_3_10,1,4.30063784114194,52.0485886998817,2532
2532BW,24320,1,BU05183639,single,income_7_10,1,4.30063784114194,52.0485886998817,2532
2532BW,22275,5,BU05183639,couple_with_children,income_6_10,0,4.30063784114194,52.0485886998817,2532
2532BW,23436,1,BU05183639,single,income_8_10,1,4.30063784114194,52.0485886998817,2532
2532BW,22476,4,BU05183639,couple_with_children,income_8_10,0,4.30063784114194,52.0485886998817,2532
2532BW,23639,1,BU05183639,single,income_5_10,1,4.30063784114194,52.0485886998817,2532
2532BW,22249,5,BU05183639,couple_with_children,income_4_10,0,4.30063784114194,52.0485886998817,2532
2532BW,22527,3,BU05183639,single-parent,income_4_10,1,4.30063784114194,52.0485886998817,2532
2532BW,23970,1,BU05183639,single,income_6_10,1,4.30063784114194,52.0485886998817,2532
2532BW,22375,3,BU05183639,single-parent,income_6_10,0,4.30063784114194,52.0485886998817,2532
2532BW,22738,3,BU05183639,couple_with_children,income_1_10,0,4.30063784114194,52.0485886998817,2532
2532BW,23039,3,BU05183639,couple_with_children,income_1_10,0,4.30063784114194,52.0485886998817,2532
2532BW,22776,3,BU05183639,couple_with_children,income_3_10,0,4.30063784114194,52.0485886998817,2532
2532BW,22241,5,BU05183639,couple_with_children,income_10_10,0,4.30063784114194,52.0485886998817,2532
2532BW,23863,1,BU05183639,single,income_6_10,0,4.30063784114194,52.0485886998817,2532
2532BX,22689,2,BU05183639,single-parent,income_3_10,1,4.29992921574011,52.0482733721481,2532
2532BX,22611,4,BU05183639,couple_with_children,income_10_10,0,4.29992921574011,52.0482733721481,2532
2532BX,22531,3,BU05183639,single-parent,income_1_10,1,4.29992921574011,52.0482733721481,2532
2532BX,23798,1,BU05183639,single,income_1_10,0,4.29992921574011,52.0482733721481,2532
2532BX,22432,4,BU05183639,couple_with_children,income_6_10,0,4.29992921574011,52.0482733721481,2532
2532BX,22876,3,BU05183639,couple_with_children,income_10_10,0,4.29992921574011,52.0482733721481,2532
2532BX,23848,1,BU05183639,single,income_6_10,0,4.29992921574011,52.0482733721481,2532
2532BX,23909,1,BU05183639,single,income_1_10,1,4.29992921574011,52.0482733721481,2532
2532BX,22836,3,BU05183639,couple_with_children,income_7_10,0,4.29992921574011,52.0482733721481,2532
2532BX,22496,4,BU05183639,couple_with_children,income_1_10,0,4.29992921574011,52.0482733721481,2532
2532BX,23731,1,BU05183639,single,income_5_10,1,4.29992921574011,52.0482733721481,2532
2532BZ,23999,1,BU05183639,single,income_6_10,1,4.29889403535293,52.047887095485,2532
2532BZ,22995,3,BU05183639,couple_with_children,income_7_10,0,4.29889403535293,52.047887095485,2532
2532BZ,22996,2,BU05183639,single-parent,income_9_10,0,4.29889403535293,52.047887095485,2532
2532BZ,22426,4,BU05183639,couple_with_children,income_8_10,0,4.29889403535293,52.047887095485,2532
2532BZ,24192,1,BU05183639,single,income_3_10,0,4.29889403535293,52.047887095485,2532
2532CA,37703,1,BU05183638,single,income_7_10,1,4.30601740614208,52.055082716694,2532
2532CA,35436,3,BU05183638,couple_with_children,income_3_10,0,4.30601740614208,52.055082716694,2532
2532CA,35350,3,BU05183638,couple_with_children,income_10_10,0,4.30601740614208,52.055082716694,2532
2532CA,37365,1,BU05183638,single,income_2_10,0,4.30601740614208,52.055082716694,2532
2532CA,35057,3,BU05183638,couple_with_children,income_1_10,0,4.30601740614208,52.055082716694,2532
2532CA,35301,3,BU05183638,couple_with_children,income_1_10,0,4.30601740614208,52.055082716694,2532
2532CA,34993,4,BU05183638,couple_with_children,income_7_10,0,4.30601740614208,52.055082716694,2532
2532CA,36000,2,BU05183638,couple_without_children,income_2_10,0,4.30601740614208,52.055082716694,2532
2532CA,34866,3,BU05183638,single-parent,income_4_10,0,4.30601740614208,52.055082716694,2532
2532CA,34526,5,BU05183638,couple_with_children,income_9_10,0,4.30601740614208,52.055082716694,2532
2532CA,35119,3,BU05183638,couple_with_children,income_4_10,0,4.30601740614208,52.055082716694,2532
2532CA,36527,1,BU05183638,single,income_4_10,0,4.30601740614208,52.055082716694,2532
2532CA,35945,2,BU05183638,couple_without_children,income_9_10,0,4.30601740614208,52.055082716694,2532
2532CA,35721,2,BU05183638,couple_without_children,income_7_10,0,4.30601740614208,52.055082716694,2532
2532CA,35759,2,BU05183638,couple_without_children,income_8_10,0,4.30601740614208,52.055082716694,2532
2532CA,36281,1,BU05183638,single,income_2_10,1,4.30601740614208,52.055082716694,2532
2532CA,36140,2,BU05183638,couple_without_children,income_5_10,0,4.30601740614208,52.055082716694,2532
2532CA,34362,5,BU05183638,couple_with_children,income_6_10,0,4.30601740614208,52.055082716694,2532
2532CA,34564,4,BU05183638,couple_with_children,income_4_10,0,4.30601740614208,52.055082716694,2532
2532CA,34697,4,BU05183638,couple_with_children,income_10_10,0,4.30601740614208,52.055082716694,2532
2532CB,36765,1,BU05183638,single,income_5_10,1,4.30581746283708,52.0548759618656,2532
2532CB,37202,1,BU05183638,single,income_1_10,0,4.30581746283708,52.0548759618656,2532
2532CB,35496,3,BU05183638,couple_with_children,income_3_10,0,4.30581746283708,52.0548759618656,2532
2532CB,35623,2,BU05183638,single-parent,income_1_10,0,4.30581746283708,52.0548759618656,2532
2532CB,36398,1,BU05183638,single,income_10_10,0,4.30581746283708,52.0548759618656,2532
2532CB,37010,1,BU05183638,single,income_10_10,1,4.30581746283708,52.0548759618656,2532
2532CB,36004,2,BU05183638,couple_without_children,income_10_10,0,4.30581746283708,52.0548759618656,2532
2532CB,36642,1,BU05183638,single,income_6_10,1,4.30581746283708,52.0548759618656,2532
2532CB,35411,3,BU05183638,couple_with_children,income_2_10,0,4.30581746283708,52.0548759618656,2532
2532CC,36833,1,BU05183638,single,income_5_10,1,4.30588981522924,52.0545551990428,2532
2532CC,37504,1,BU05183638,single,income_6_10,0,4.30588981522924,52.0545551990428,2532
2532CC,36623,1,BU05183638,single,income_1_10,1,4.30588981522924,52.0545551990428,2532
2532CC,35286,3,BU05183638,couple_with_children,income_1_10,0,4.30588981522924,52.0545551990428,2532
2532CC,37100,1,BU05183638,single,income_4_10,1,4.30588981522924,52.0545551990428,2532
2532CC,36994,1,BU05183638,single,income_2_10,0,4.30588981522924,52.0545551990428,2532
2532CC,36870,1,BU05183638,single,income_8_10,1,4.30588981522924,52.0545551990428,2532
2532CC,36237,1,BU05183638,single,income_6_10,0,4.30588981522924,52.0545551990428,2532
2532CC,36806,1,BU05183638,single,income_1_10,1,4.30588981522924,52.0545551990428,2532
2532CC,35984,2,BU05183638,couple_without_children,income_2_10,0,4.30588981522924,52.0545551990428,2532
2532CC,35131,3,BU05183638,couple_with_children,income_10_10,0,4.30588981522924,52.0545551990428,2532
2532CC,34744,3,BU05183638,single-parent,income_1_10,0,4.30588981522924,52.0545551990428,2532
2532CC,37408,1,BU05183638,single,income_2_10,1,4.30588981522924,52.0545551990428,2532
2532CC,36569,1,BU05183638,single,income_4_10,1,4.30588981522924,52.0545551990428,2532
2532CC,37258,1,BU05183638,single,income_4_10,1,4.30588981522924,52.0545551990428,2532
2532CC,36724,1,BU05183638,single,income_2_10,1,4.30588981522924,52.0545551990428,2532
2532CC,35906,2,BU05183638,couple_without_children,income_8_10,0,4.30588981522924,52.0545551990428,2532
2532CC,34495,5,BU05183638,couple_with_children,income_1_10,0,4.30588981522924,52.0545551990428,2532
2532CC,37367,1,BU05183638,single,income_5_10,1,4.30588981522924,52.0545551990428,2532
2532CC,36233,1,BU05183638,single,income_6_10,0,4.30588981522924,52.0545551990428,2532
2532CD,35007,4,BU05183638,couple_with_children,income_9_10,0,4.30644102953891,52.054617256055,2532
2532CD,37483,1,BU05183638,single,income_7_10,0,4.30644102953891,52.054617256055,2532
2532CD,37620,1,BU05183638,single,income_2_10,1,4.30644102953891,52.054617256055,2532
2532CD,34515,5,BU05183638,couple_with_children,income_1_10,0,4.30644102953891,52.054617256055,2532
2532CD,36586,1,BU05183638,single,income_1_10,0,4.30644102953891,52.054617256055,2532
2532CD,34922,3,BU05183638,single-parent,income_3_10,0,4.30644102953891,52.054617256055,2532
2532CD,37393,1,BU05183638,single,income_1_10,0,4.30644102953891,52.054617256055,2532
2532CD,35531,3,BU05183638,couple_with_children,income_6_10,0,4.30644102953891,52.054617256055,2532
2532CD,35881,2,BU05183638,couple_without_children,income_6_10,0,4.30644102953891,52.054617256055,2532
2532CD,37254,1,BU05183638,single,income_3_10,1,4.30644102953891,52.054617256055,2532
2532CD,34391,5,BU05183638,couple_with_children,income_9_10,0,4.30644102953891,52.054617256055,2532
2532CD,34708,4,BU05183638,couple_with_children,income_1_10,0,4.30644102953891,52.054617256055,2532
2532CD,35729,2,BU05183638,couple_without_children,income_8_10,0,4.30644102953891,52.054617256055,2532
2532CD,35606,2,BU05183638,single-parent,income_7_10,0,4.30644102953891,52.054617256055,2532
2532CD,35960,2,BU05183638,couple_without_children,income_2_10,0,4.30644102953891,52.054617256055,2532
2532CD,35678,2,BU05183638,couple_without_children,income_1_10,0,4.30644102953891,52.054617256055,2532
2532CD,37186,1,BU05183638,single,income_5_10,1,4.30644102953891,52.054617256055,2532
2532CD,35516,3,BU05183638,couple_with_children,income_9_10,0,4.30644102953891,52.054617256055,2532
2532CD,36197,1,BU05183638,single,income_6_10,1,4.30644102953891,52.054617256055,2532
2532CD,35150,3,BU05183638,couple_with_children,income_1_10,0,4.30644102953891,52.054617256055,2532
2532CD,35016,4,BU05183638,couple_with_children,income_2_10,0,4.30644102953891,52.054617256055,2532
2532CD,36469,1,BU05183638,single,income_3_10,1,4.30644102953891,52.054617256055,2532
2532CD,37331,1,BU05183638,single,income_1_10,1,4.30644102953891,52.054617256055,2532
2532CD,37631,1,BU05183638,single,income_7_10,0,4.30644102953891,52.054617256055,2532
2532CD,36388,1,BU05183638,single,income_6_10,1,4.30644102953891,52.054617256055,2532
2532CD,36875,1,BU05183638,single,income_1_10,0,4.30644102953891,52.054617256055,2532
2532CD,36851,1,BU05183638,single,income_5_10,1,4.30644102953891,52.054617256055,2532
2532CD,35421,3,BU05183638,couple_with_children,income_6_10,0,4.30644102953891,52.054617256055,2532
2532CD,36892,1,BU05183638,single,income_6_10,1,4.30644102953891,52.054617256055,2532
2532CD,35795,2,BU05183638,couple_without_children,income_1_10,0,4.30644102953891,52.054617256055,2532
2532CD,34420,4,BU05183638,single-parent,income_1_10,0,4.30644102953891,52.054617256055,2532
2532CD,36107,2,BU05183638,couple_without_children,income_5_10,0,4.30644102953891,52.054617256055,2532
2532CD,35130,3,BU05183638,couple_with_children,income_1_10,0,4.30644102953891,52.054617256055,2532
2532CD,37214,1,BU05183638,single,income_6_10,1,4.30644102953891,52.054617256055,2532
2532CD,36899,1,BU05183638,single,income_1_10,0,4.30644102953891,52.054617256055,2532
2532CD,36504,1,BU05183638,single,income_1_10,1,4.30644102953891,52.054617256055,2532
2532CD,36200,1,BU05183638,single,income_9_10,0,4.30644102953891,52.054617256055,2532
2532CD,36253,1,BU05183638,single,income_10_10,1,4.30644102953891,52.054617256055,2532
2532CD,34406,4,BU05183638,single-parent,income_2_10,1,4.30644102953891,52.054617256055,2532
2532CD,35186,3,BU05183638,couple_with_children,income_10_10,0,4.30644102953891,52.054617256055,2532
2532CD,35513,3,BU05183638,couple_with_children,income_4_10,0,4.30644102953891,52.054617256055,2532
2532CD,36035,2,BU05183638,couple_without_children,income_10_10,0,4.30644102953891,52.054617256055,2532
2532CD,35672,2,BU05183638,couple_without_children,income_4_10,0,4.30644102953891,52.054617256055,2532
2532CD,34867,4,BU05183638,couple_with_children,income_8_10,0,4.30644102953891,52.054617256055,2532
2532CD,37322,1,BU05183638,single,income_1_10,1,4.30644102953891,52.054617256055,2532
2532CD,37510,1,BU05183638,single,income_8_10,0,4.30644102953891,52.054617256055,2532
2532CD,35986,2,BU05183638,couple_without_children,income_4_10,0,4.30644102953891,52.054617256055,2532
2532CD,34805,3,BU05183638,single-parent,income_1_10,0,4.30644102953891,52.054617256055,2532
2532CD,34605,4,BU05183638,couple_with_children,income_10_10,0,4.30644102953891,52.054617256055,2532
2532CD,34664,3,BU05183638,single-parent,income_2_10,1,4.30644102953891,52.054617256055,2532
2532CD,35220,3,BU05183638,couple_with_children,income_7_10,0,4.30644102953891,52.054617256055,2532
2532CD,34909,3,BU05183638,single-parent,income_4_10,0,4.30644102953891,52.054617256055,2532
2532CD,36201,1,BU05183638,single,income_5_10,0,4.30644102953891,52.054617256055,2532
2532CD,35400,3,BU05183638,couple_with_children,income_2_10,0,4.30644102953891,52.054617256055,2532
2532CD,35822,2,BU05183638,couple_without_children,income_9_10,0,4.30644102953891,52.054617256055,2532
2532CD,37609,1,BU05183638,single,income_7_10,1,4.30644102953891,52.054617256055,2532
2532CD,35990,2,BU05183638,couple_without_children,income_9_10,0,4.30644102953891,52.054617256055,2532
2532CD,34432,5,BU05183638,couple_with_children,income_3_10,0,4.30644102953891,52.054617256055,2532
2532CD,34773,4,BU05183638,couple_with_children,income_2_10,0,4.30644102953891,52.054617256055,2532
2532CD,37316,1,BU05183638,single,income_9_10,1,4.30644102953891,52.054617256055,2532
2532CD,36420,1,BU05183638,single,income_6_10,1,4.30644102953891,52.054617256055,2532
2532CD,35451,3,BU05183638,couple_with_children,income_1_10,0,4.30644102953891,52.054617256055,2532
2532CD,36476,1,BU05183638,single,income_5_10,0,4.30644102953891,52.054617256055,2532
2532CD,36138,2,BU05183638,couple_without_children,income_7_10,0,4.30644102953891,52.054617256055,2532
2532CD,36908,1,BU05183638,single,income_4_10,0,4.30644102953891,52.054617256055,2532
2532CD,37453,1,BU05183638,single,income_6_10,1,4.30644102953891,52.054617256055,2532
2532CD,36570,1,BU05183638,single,income_8_10,1,4.30644102953891,52.054617256055,2532
2532CD,34916,4,BU05183638,couple_with_children,income_1_10,0,4.30644102953891,52.054617256055,2532
2532CD,34750,4,BU05183638,couple_with_children,income_2_10,0,4.30644102953891,52.054617256055,2532
2532CD,34442,5,BU05183638,couple_with_children,income_9_10,0,4.30644102953891,52.054617256055,2532
2532CD,36246,1,BU05183638,single,income_1_10,0,4.30644102953891,52.054617256055,2532
2532CD,34912,4,BU05183638,couple_with_children,income_8_10,0,4.30644102953891,52.054617256055,2532
2532CD,34785,4,BU05183638,couple_with_children,income_3_10,0,4.30644102953891,52.054617256055,2532
2532CD,34825,4,BU05183638,couple_with_children,income_10_10,0,4.30644102953891,52.054617256055,2532
2532CD,34911,4,BU05183638,couple_with_children,income_10_10,0,4.30644102953891,52.054617256055,2532
2532CD,37569,1,BU05183638,single,income_4_10,1,4.30644102953891,52.054617256055,2532
2532CD,35133,2,BU05183638,single-parent,income_4_10,0,4.30644102953891,52.054617256055,2532
2532CD,36609,1,BU05183638,single,income_1_10,0,4.30644102953891,52.054617256055,2532
2532CD,37285,1,BU05183638,single,income_5_10,1,4.30644102953891,52.054617256055,2532
2532CD,37566,1,BU05183638,single,income_6_10,1,4.30644102953891,52.054617256055,2532
2532CD,35381,3,BU05183638,couple_with_children,income_10_10,0,4.30644102953891,52.054617256055,2532
2532CD,36355,1,BU05183638,single,income_7_10,1,4.30644102953891,52.054617256055,2532
2532CD,34589,3,BU05183638,single-parent,income_4_10,0,4.30644102953891,52.054617256055,2532
2532CD,37292,1,BU05183638,single,income_1_10,1,4.30644102953891,52.054617256055,2532
2532CD,35512,3,BU05183638,couple_with_children,income_10_10,0,4.30644102953891,52.054617256055,2532
2532CD,36194,1,BU05183638,single,income_4_10,1,4.30644102953891,52.054617256055,2532
2532CD,34533,5,BU05183638,couple_with_children,income_5_10,0,4.30644102953891,52.054617256055,2532
2532CD,35828,2,BU05183638,couple_without_children,income_2_10,0,4.30644102953891,52.054617256055,2532
2532CD,35260,3,BU05183638,couple_with_children,income_9_10,0,4.30644102953891,52.054617256055,2532
2532CE,36267,1,BU05183638,single,income_10_10,0,4.30548951851939,52.0538413417052,2532
2532CE,37405,1,BU05183638,single,income_7_10,1,4.30548951851939,52.0538413417052,2532
2532CE,35930,2,BU05183638,couple_without_children,income_7_10,0,4.30548951851939,52.0538413417052,2532
2532CE,34812,3,BU05183638,single-parent,income_2_10,1,4.30548951851939,52.0538413417052,2532
2532CE,36536,1,BU05183638,single,income_9_10,1,4.30548951851939,52.0538413417052,2532
2532CE,35472,3,BU05183638,couple_with_children,income_3_10,0,4.30548951851939,52.0538413417052,2532
2532CE,35851,2,BU05183638,couple_without_children,income_6_10,0,4.30548951851939,52.0538413417052,2532
2532CE,36580,1,BU05183638,single,income_7_10,0,4.30548951851939,52.0538413417052,2532
2532CE,36697,1,BU05183638,single,income_2_10,0,4.30548951851939,52.0538413417052,2532
2532CE,36273,1,BU05183638,single,income_1_10,0,4.30548951851939,52.0538413417052,2532
2532CE,37096,1,BU05183638,single,income_6_10,1,4.30548951851939,52.0538413417052,2532
2532CE,37623,1,BU05183638,single,income_5_10,1,4.30548951851939,52.0538413417052,2532
2532CE,36950,1,BU05183638,single,income_5_10,0,4.30548951851939,52.0538413417052,2532
2532CE,37307,1,BU05183638,single,income_4_10,0,4.30548951851939,52.0538413417052,2532
2532CE,35322,3,BU05183638,couple_with_children,income_1_10,0,4.30548951851939,52.0538413417052,2532
2532CE,35876,2,BU05183638,couple_without_children,income_9_10,0,4.30548951851939,52.0538413417052,2532
2532CE,34984,3,BU05183638,single-parent,income_1_10,0,4.30548951851939,52.0538413417052,2532
2532CE,36084,2,BU05183638,couple_without_children,income_4_10,0,4.30548951851939,52.0538413417052,2532
2532CE,37212,1,BU05183638,single,income_1_10,1,4.30548951851939,52.0538413417052,2532
2532CE,35879,2,BU05183638,couple_without_children,income_9_10,0,4.30548951851939,52.0538413417052,2532
2532CE,34729,4,BU05183638,couple_with_children,income_9_10,0,4.30548951851939,52.0538413417052,2532
2532CE,36716,1,BU05183638,single,income_2_10,1,4.30548951851939,52.0538413417052,2532
2532CE,35498,3,BU05183638,couple_with_children,income_8_10,0,4.30548951851939,52.0538413417052,2532
2532CE,34707,4,BU05183638,couple_with_children,income_8_10,0,4.30548951851939,52.0538413417052,2532
2532CE,35510,3,BU05183638,couple_with_children,income_4_10,0,4.30548951851939,52.0538413417052,2532
2532CE,35816,2,BU05183638,couple_without_children,income_4_10,0,4.30548951851939,52.0538413417052,2532
2532CE,35460,2,BU05183638,single-parent,income_1_10,0,4.30548951851939,52.0538413417052,2532
2532CE,36319,1,BU05183638,single,income_2_10,1,4.30548951851939,52.0538413417052,2532
2532CG,36886,1,BU05183638,single,income_5_10,1,4.30441957009337,52.0536071873149,2532
2532CG,34552,4,BU05183638,single-parent,income_3_10,1,4.30441957009337,52.0536071873149,2532
2532CG,37209,1,BU05183638,single,income_2_10,1,4.30441957009337,52.0536071873149,2532
2532CG,35897,2,BU05183638,couple_without_children,income_2_10,0,4.30441957009337,52.0536071873149,2532
2532CG,37232,1,BU05183638,single,income_10_10,1,4.30441957009337,52.0536071873149,2532
2532CG,35996,2,BU05183638,couple_without_children,income_8_10,0,4.30441957009337,52.0536071873149,2532
2532CG,37600,1,BU05183638,single,income_2_10,1,4.30441957009337,52.0536071873149,2532
2532CG,37014,1,BU05183638,single,income_4_10,0,4.30441957009337,52.0536071873149,2532
2532CG,34615,4,BU05183638,couple_with_children,income_7_10,0,4.30441957009337,52.0536071873149,2532
2532CG,36884,1,BU05183638,single,income_4_10,0,4.30441957009337,52.0536071873149,2532
